epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8334,1.20804,1.3652,1.23267,0.67503,0.53357,0.61444,0.45526,1.09153,1.11658,1.11885,3.47083e-05,3.47083e-05,3.47083e-05
2,94.418,1.16261,1.34319,1.18974,0.62639,0.60003,0.63612,0.47337,1.07729,1.08156,1.10877,6.70119e-05,6.70119e-05,6.70119e-05
3,140.838,1.16844,1.25237,1.17241,0.66468,0.59584,0.65939,0.48558,1.07021,1.05474,1.10111,9.14614e-05,9.14614e-05,9.14614e-05
4,190.218,1.13602,1.28634,1.16242,0.66377,0.6444,0.68099,0.50063,1.0671,1.02983,1.09646,8.3657e-05,8.3657e-05,8.3657e-05
5,245.027,1.10458,1.13102,1.14589,0.67159,0.64796,0.6888,0.50967,1.05334,0.9971,1.08797,7.1876e-05,7.1876e-05,7.1876e-05
6,310.63,1.10633,1.15802,1.17439,0.69777,0.64875,0.70763,0.52762,1.03804,0.96913,1.08008,6.0095e-05,6.0095e-05,6.0095e-05
7,362.359,1.04591,1.11379,1.11811,0.72432,0.6449,0.7144,0.53627,1.02425,0.94759,1.07356,4.8314e-05,4.8314e-05,4.8314e-05
8,412.844,1.06468,1.06783,1.15014,0.75802,0.64221,0.7196,0.53927,1.01463,0.92894,1.06833,3.6533e-05,3.6533e-05,3.6533e-05
9,464.132,1.06955,1.05278,1.12642,0.77548,0.63716,0.72438,0.54562,1.00993,0.91676,1.06627,2.4752e-05,2.4752e-05,2.4752e-05
10,515.774,1.08415,1.0719,1.14427,0.78126,0.64063,0.7258,0.54675,1.00563,0.90989,1.06364,1.2971e-05,1.2971e-05,1.2971e-05
